model,release_date,prompt_1_correct,prompt_2_correct,total_questions,prompt_1_accuracy,prompt_2_accuracy,average_accuracy
opt-6.7b,May 2022,0,0,30,0.0,0.0,0.0
babbage-002,Pre-2023,0,0,30,0.0,0.0,0.0
gpt-j-6b,Jun 2021,1,0,30,3.33,0.0,1.67
llama-1-7b,Feb 2023,2,0,30,6.67,0.0,3.33
gpt-2,2019,1,2,30,3.33,6.67,5.0
llama-2-7b,Jul 2023,3,2,30,10.0,6.67,8.33
davinci-002,Pre-2023,5,4,30,16.67,13.33,15.0
bloom-7b1,Jul 2022,9,5,30,30.0,16.67,23.33
llama-3.1-8b,Jul 2024,7,10,30,23.33,33.33,28.33
gpt-4o-mini,Jul 2024,8,10,30,26.67,33.33,30.0
gpt-3.5-turbo,Mar 2023,8,10,30,26.67,33.33,30.0
gpt-3.5-turbo-instruct,Sep 2023,8,11,30,26.67,36.67,31.67
mistral-7b-v0.1,Sep 2023,10,10,30,33.33,33.33,33.33
claude-3-haiku,Mar 2024,8,12,30,26.67,40.0,33.33
gpt-4,Mar 2023,10,13,30,33.33,43.33,38.33
gpt-4-turbo,Apr 2024,9,15,30,30.0,50.0,40.0
gpt-4o,May 2024,10,14,30,33.33,46.67,40.0
