model,release_date,correct_p1,correct_p2,total,accuracy_p1,accuracy_p2,avg_accuracy,non_empty_p1,non_empty_p2
gpt_4_turbo,2024-04,10,16,30,33.3,53.3,43.3,30,30
gpt_4o,2024-05,9,16,30,30.0,53.3,41.7,30,30
gpt_4,2023-03,11,13,30,36.7,43.3,40.0,30,30
gpt_4o_mini,2024-07,11,12,30,36.7,40.0,38.3,30,30
phi_3_mini,2024-04,12,10,30,40.0,33.3,36.7,30,28
gpt_3_5_turbo,2022-11,8,12,30,26.7,40.0,33.3,30,30
llama_3_1_8b,2024-07,10,10,30,33.3,33.3,33.3,30,30
gpt_3_5_turbo_instruct,2023-09,6,11,30,20.0,36.7,28.3,30,28
claude_3_haiku,2024-03,6,10,30,20.0,33.3,26.7,30,30
qwen_7b,2023-08,5,8,30,16.7,26.7,21.7,29,29
mistral_7b_v0_1,2023-09,4,8,30,13.3,26.7,20.0,30,30
yi_6b,2023-11,7,5,30,23.3,16.7,20.0,30,30
qwen2_7b,2024-06,6,4,30,20.0,13.3,16.7,29,29
galactica_6_7b,2022-11,4,5,30,13.3,16.7,15.0,28,29
gpt_j_6b,2021-06,4,5,30,13.3,16.7,15.0,15,14
bloom_7b1,2022-07,5,4,30,16.7,13.3,15.0,21,16
phi_2,2023-12,5,4,30,16.7,13.3,15.0,30,23
davinci_002,2023-12,3,5,30,10.0,16.7,13.3,30,30
flan_t5_xl,2022-10,3,2,30,10.0,6.7,8.3,30,30
t0_3b,2022-03,1,4,30,3.3,13.3,8.3,30,30
cerebras_gpt_6_7b,2023-03,4,1,30,13.3,3.3,8.3,29,30
babbage_002,2023-12,4,0,30,13.3,0.0,6.7,30,30
llama_2_7b,2023-07,1,3,30,3.3,10.0,6.7,30,30
gpt_neo_2_7b,2021-03,2,2,30,6.7,6.7,6.7,30,30
mt5_xl,2021-01,0,3,30,0.0,10.0,5.0,30,30
gpt_neox_20b,2022-02,1,2,30,3.3,6.7,5.0,12,8
llama_1_7b,2023-02,2,0,30,6.7,0.0,3.3,30,30
gpt_2,2019-02,1,1,30,3.3,3.3,3.3,30,30
falcon_7b,2023-06,1,0,30,3.3,0.0,1.7,10,14
opt_6_7b,2022-05,0,0,30,0.0,0.0,0.0,13,5
pythia_6_9b,2022-07,0,0,30,0.0,0.0,0.0,9,2
t5_v1_1_xl,2022-02,0,0,30,0.0,0.0,0.0,30,30
